Data as of,Start Date,End Date,Sex,agename,age,total,covid
2/22/2021,1/1/2020,2/20/2021,Female,47 Years,47,5924,516
2/22/2021,1/1/2020,2/20/2021,Female,48 Years,48,6568,626
2/22/2021,1/1/2020,2/20/2021,Female,49 Years,49,7500,730
2/22/2021,1/1/2020,2/20/2021,Female,50 Years,50,8091,798
2/22/2021,1/1/2020,2/20/2021,Female,51 Years,51,8498,783
2/22/2021,1/1/2020,2/20/2021,Female,52 Years,52,9071,844
2/22/2021,1/1/2020,2/20/2021,Female,53 Years,53,9830,950
2/22/2021,1/1/2020,2/20/2021,Female,54 Years,54,10871,1047
2/22/2021,1/1/2020,2/20/2021,Female,55 Years,55,12283,1145
2/22/2021,1/1/2020,2/20/2021,Female,56 Years,56,13687,1362
2/22/2021,1/1/2020,2/20/2021,Female,57 Years,57,15240,1574
2/22/2021,1/1/2020,2/20/2021,Female,58 Years,58,15944,1642
2/22/2021,1/1/2020,2/20/2021,Female,59 Years,59,17873,1841
2/22/2021,1/1/2020,2/20/2021,Female,60 Years,60,19462,2138
2/22/2021,1/1/2020,2/20/2021,Female,61 Years,61,20418,2208
2/22/2021,1/1/2020,2/20/2021,Female,62 Years,62,21597,2472
2/22/2021,1/1/2020,2/20/2021,Female,63 Years,63,23114,2676
2/22/2021,1/1/2020,2/20/2021,Female,64 Years,64,23790,2824
2/22/2021,1/1/2020,2/20/2021,Female,65 Years,65,25023,3060
2/22/2021,1/1/2020,2/20/2021,Female,66 Years,66,25948,3118
2/22/2021,1/1/2020,2/20/2021,Female,67 Years,67,26921,3316
2/22/2021,1/1/2020,2/20/2021,Female,68 Years,68,27908,3512
2/22/2021,1/1/2020,2/20/2021,Female,69 Years,69,29020,3729
2/22/2021,1/1/2020,2/20/2021,Female,70 Years,70,30628,3873
2/22/2021,1/1/2020,2/20/2021,Female,71 Years,71,33158,4242
2/22/2021,1/1/2020,2/20/2021,Female,72 Years,72,35862,4564
2/22/2021,1/1/2020,2/20/2021,Female,73 Years,73,39295,4911
2/22/2021,1/1/2020,2/20/2021,Female,74 Years,74,34656,4767
2/22/2021,1/1/2020,2/20/2021,Female,75 Years,75,35457,4643
2/22/2021,1/1/2020,2/20/2021,Female,76 Years,76,38527,5027
2/22/2021,1/1/2020,2/20/2021,Female,77 Years,77,42394,5661
2/22/2021,1/1/2020,2/20/2021,Female,78 Years,78,41732,5708
2/22/2021,1/1/2020,2/20/2021,Female,79 Years,79,41698,5510
2/22/2021,1/1/2020,2/20/2021,Female,80 Years,80,43138,5745
2/22/2021,1/1/2020,2/20/2021,Female,81 Years,81,44550,5876
2/22/2021,1/1/2020,2/20/2021,Female,82 Years,82,46787,6271
2/22/2021,1/1/2020,2/20/2021,Female,83 Years,83,47260,6243
2/22/2021,1/1/2020,2/20/2021,Female,84 Years,84,49281,6554
2/22/2021,1/1/2020,2/20/2021,Female,85 Years and over,85,677302,85946
