UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,1,2017,19,4218490,2157867,2060623,1590606,1509830,327070,316962,32529,31359,117329,114685,5800,5381,84533,82406,1667115,1584366,368695,358159,54638,53092,147769,143840,12400,11677,1675174,1600992,1168995,1108363,303279,294237,18209,17933,112404,110016,4161,3870,68126,66573,1230818,1168684,337466,328246,33598,33177,138060,134591,9222,8689,482693,459631,421611,401467,23791,22725,14320,13426,4925,4669,1639,1511,16407,15833,436297,415682,31229,29913,21040,19915,9709,9249,3178,2988
R,1,2017,20,4273017,2186019,2086998,1615946,1530559,327139,319305,32710,31292,121159,119304,5951,5501,83114,81037,1691137,1603620,367260,359237,55009,53169,151253,148111,12573,12040,1700992,1628368,1191595,1129675,303503,297086,18422,17776,116358,114623,4250,3943,66864,65265,1252253,1188636,336304,329909,33765,33028,141929,138924,9362,9003,485027,458630,424351,400884,23636,22219,14288,13516,4801,4681,1701,1558,16250,15772,438884,414984,30956,29328,21244,20141,9324,9187,3211,3037
R,1,2017,21,4335673,2224607,2111066,1639272,1546084,338178,326534,33040,31254,126437,122731,6161,5874,81519,78589,1712660,1616662,376982,365013,55887,53216,155907,150587,12773,12408,1735079,1649409,1210822,1142137,314196,304076,18687,17677,121599,117985,4445,4212,65330,63322,1269700,1199178,345844,335540,34623,33125,146512,141495,9580,9321,489528,461657,428450,403947,23982,22458,14353,13577,4838,4746,1716,1662,16189,15267,442960,417484,31138,29473,21264,20091,9395,9092,3193,3087
R,1,2017,22,4427559,2272982,2154577,1666234,1568585,354941,343564,33698,32325,132287,126299,6280,6118,79542,77686,1737464,1637973,392076,381007,56841,54825,160994,153907,13172,12582,1778638,1691528,1233142,1163653,330540,320671,19331,18470,127399,121702,4559,4465,63667,62567,1290188,1219563,360666,351302,35574,34476,151747,145049,9902,9502,494344,463049,433092,404932,24401,22893,14367,13855,4888,4597,1721,1653,15875,15119,447276,418410,31410,29705,21267,20349,9247,8858,3270,3080
R,1,2017,23,4507922,2317327,2190595,1692096,1587099,368850,355380,34634,33186,139196,133361,6457,6161,76094,75408,1759795,1654167,403755,391089,57181,55711,167187,160176,13191,12682,1817286,1725659,1253182,1179908,344052,332573,19997,19411,134397,128666,4634,4504,61024,60597,1307535,1233877,372368,361590,35921,35501,158104,151350,9868,9584,500041,464936,438914,407191,24798,22807,14637,13775,4799,4695,1823,1657,15070,14811,452260,420290,31387,29499,21260,20210,9083,8826,3323,3098
R,1,2017,24,4631165,2382665,2248500,1737696,1627884,381142,365060,36340,33947,145814,141571,6626,6294,75047,73744,1804299,1693288,414110,398613,59535,56603,173845,168530,13372,12878,1871600,1776441,1289114,1214140,355934,341709,20989,19926,140920,136809,4786,4575,59857,59282,1342240,1266755,382281,368833,37361,36145,164846,159808,10091,9712,511065,472059,448582,413744,25208,23351,15351,14021,4894,4762,1840,1719,15190,14462,462059,426533,31829,29780,22174,20458,8999,8722,3281,3166
R,1,2017,25,4717379,2409554,2307825,1756304,1664522,383099,376384,37119,33792,154138,153063,7368,6709,71526,73355,1818938,1728617,413918,409390,59531,56094,181434,181082,14322,13676,1901287,1838718,1311761,1255906,357200,351264,21398,20114,149071,147865,5345,4902,56512,58667,1361180,1307147,381424,377618,37034,35941,172290,171683,10832,10366,508267,469107,444543,408616,25899,25120,15721,13678,5067,5198,2023,1807,15014,14688,457758,421470,32494,31772,22497,20153,9144,9399,3490,3310
R,1,2017,26,4805947,2449519,2356428,1793629,1704219,381552,378646,36834,33553,161528,162796,7650,6957,68326,70257,1853190,1765643,409755,409780,58451,55113,188777,189863,14499,13727,1936343,1889620,1344942,1298123,355240,352940,20812,19922,156150,157569,5500,5140,53699,55926,1391572,1346939,377131,377670,35778,35092,179424,180594,10876,10482,513176,466808,448687,406096,26312,25706,16022,13631,5378,5227,2150,1817,14627,14331,461618,418704,32624,32110,22673,20021,9353,9269,3623,3245
R,1,2017,27,4660532,2371509,2289023,1741959,1653001,363553,365740,35573,31986,159774,165969,7778,6755,62872,65572,1796922,1710185,389104,394335,55569,52306,184850,191456,14019,13112,1879837,1843786,1312016,1265480,338363,341123,19861,19122,154661,160834,5652,5046,49284,52181,1354951,1310844,358028,363719,33694,33415,176113,182672,10581,10142,491672,445237,429943,387521,25190,24617,15712,12864,5113,5135,2126,1709,13588,13391,441971,399341,31076,30616,21875,18891,8737,8784,3438,2970
R,1,2017,28,4529539,2298687,2230852,1700087,1618100,337277,344411,34435,30878,160686,169178,7470,6800,58732,61485,1751121,1671633,360515,370719,53201,49963,184564,193538,13513,12802,1817068,1798093,1278093,1241150,313333,320605,18893,18188,155779,164166,5426,5096,45544,48888,1317540,1283631,330782,341119,31590,31692,176202,185067,10219,9886,481619,432759,421994,376950,23944,23806,15542,12690,4907,5012,2044,1704,13188,12597,433581,388002,29733,29600,21611,18271,8362,8471,3294,2916
